ObjectID,Exhibitions
2268,2079
2285,3142
2285, 2071
2291,358
2326,2160
2326, 2355
2326, 2728
2326, 3300
2328,3107
2330,1994
2330, 2115
2336,6
2336, 442
2336, 2159
2336, 2749
2336, 3300
2349,2672
2349, 721
2349, 3061
2358,2176
2358, 2644
2359,432
2359, 2069
2362,555
2384,305
2384, 2114
2405,13
2405, 2605
2405, 305
2414,2069
2427,2089
2427, 2597
2449,945
2450,1994
2451,2507
2459,275
2482,2387
2485,275
2485, 2687
2485, 3300
2495,941
2495, 2237
2510,358
2510, 2513
2520,1954
2520, 2054
2520, 2227
2520, 2513
2520, 2704
2525,246
2525, 2752
2542,2237
2542, 2993
2543,1958
2543, 48
2543, 2444
2545,2513
2547,1983
2547, 2071
2570,338
2570, 2069
2570, 432
2570, 3148
2570, 3628
2572,581
2572, 195
2572, 2069
2575,1956
2575, 2069
2598,3037
2602,2054
2602, 2513
2602, 2704
2610,2514
2619,3168
2619, 2071
2645,316
2646,2071
2646, 3456
2655,438
2655, 602
2655, 2069
2655, 404
2655, 432
2670,2071
2681,69
2681, 956
2681, 405
2682,2071
2702,564
2702, 961
2714,2002
2724,2054
2724, 1954
2724, 2107
2724, 358
2724, 2513
2724, 246
2724, 2704
2724, 2752
2746,2069
2756,275
2791,3272
2795,215
2800,2513
2800, 2237
2800, 3673
2803,1956
2805,2493
2826,2054
2826, 358
2826, 2513
2826, 2704
2831,2128
2840,948
2840, 13
2857,1994
2862,2513
2862, 2672
2863,1971
2863, 2017
2863, 2018
2863, 2069
2863, 484
2863, 2300
2863, 2319
2863, 335
2863, 2359
2863, 2297
2863, 2376
2863, 404
2863, 432
2863, 2708
2863, 3008
2872,335
2884,438
2884, 429
2884, 2069
2884, 432
2884, 3391
2889,1956
2890,1977
2890, 889
2906,2674
2909,3061
2935,2237
2968,2160
2968, 2165
2968, 3013
2973,74
2973, 1994
2978,309
2978, 2172
2978, 2513
2978, 2345
2978, 3193
2978, 3240
2979,2321
2992,1958
3013,1994
3013, 2617
3014,2641
3014, 2071
3015,3012
3040,306
3064,2834
3071,1956
3071, 631
3082,1979
3088,1954
3088, 2227
3088, 2513
3111,2305
3111, 484
3127,2089
3127, 2507
3131,2089
3131, 2237
3141,826
3141, 365
3149,2089
3153,2513
3153, 2237
3154,296
3154, 338
3154, 655
3154, 2069
3154, 484
3154, 432
3154, 3148
3154, 3628
3175,296
3175, 655
3175, 2069
3175, 3148
3175, 3628
3177,2237
3184,581
3184, 2069
3184, 404
3184, 432
3190,1954
3190, 2227
3190, 2513
3198,2759
3243,454
3259,97
3261,1994
3282,1956
3289,945
3305,2160
3305, 2167
3305, 2672
3314,2513
3317,229
3317, 2069
3317, 432
3321,2237
3321, 2993
3321, 3294
3350,358
3350, 2513
3354,2200
3354, 2345
3360,469
3360, 637
3360, 438
3360, 2069
3360, 631
3360, 2297
3360, 2320
3360, 404
3360, 432
3373,2069
3373, 3500
3376,386
3376, 3146
3396,3193
3396, 3240
3405,358
3405, 2513
3410,1956
3410, 2069
3410, 637
3410, 190
3410, 631
3410, 872
3410, 1993
3422,1956
3439,1954
3439, 2054
3439, 2107
3439, 358
3439, 2227
3439, 2513
3439, 2704
3446,2177
3451,10
3452,2237
3490,1954
3490, 2054
3490, 2227
3490, 2513
3490, 2704
3491,954
3499,2513
3500,69
3500, 563
3500, 3423
3501,2637
3501, 2896
3501, 3673
3509,215
3522,2513
3540,2237
3563,948
3563, 2514
3563, 3334
3566,34
3566, 306
3566, 680
3580,3147
3589,2507
3595,34
3621,2064
3623,2069
3631,2071
3646,76
3652,2176
3652, 3193
3672,945
3683,721
3685,2513
3696,2089
3709,563
3723,386
3732,246
3732, 2691
3732, 2752
3737,1994
3745,2167
3754,2071
3769,2071
3771,1994
3771, 2744
3771, 826
3775,437
3778,2513
3792,507
3792, 2113
3792, 2159
3792, 2428
3792, 3105
3792, 3219
3792, 3300
3818,2054
3818, 1954
3818, 2513
3818, 2704
3825,941
3825, 3058
3839,581
3839, 2069
3859,2107
3859, 358
3864,275
3878,244
3878, 821
3888,2689
3910,2069
3910, 432
3918,1958
3938,2513
3941,1994
3942,2301
3942, 2674
3942, 2747
3942, 3300
3944,2514
3956,358
3956, 2513
3966,358
3966, 2513
3972,316
3995,2174
3995, 2194
3997,2167
4001,246
4001, 2752
4005,10
4021,2164
4045,215
4045, 2547
4060,3038
4065,581
4065, 2069
4079,74
4096,2444
4109,2069
4109, 3500
4118,275
4122,2167
4128,2514
4147,945
4148,187
4148, 2069
4148, 2152
4165,2174
4184,1956
4192,1994
4193,338
4193, 2069
4193, 3148
4199,1956
4199, 2069
4199, 631
4199, 872
4216,2160
4216, 2465
4216, 2393
4216, 2466
4216, 170
4216, 2728
4216, 13
4216, 3256
4216, 3300
4254,187
4254, 2069
4264,10
4300,2514
4308,69
4308, 3423
4319,2237
4325,2172
4340,2513
4348,358
4352,945
4353,2066
4362,1956
4362, 631
4370,246
4370, 563
4370, 2752
4370, 3316
4380,2165
